state,district,category,type,date,crimes,,,,,,
Sabah,All,total,all,1/1/2020,3614,,,,,,
Sabah,All,total,all,1/1/2021,3287,,,,,,
Sabah,All,total,all,1/1/2022,3990,,,,,,
Sabah,All,total,all,1/1/2023,3989,,,,,,
Labuan,All,assault,all,1/1/2016,24,,,,,,
Labuan,All,assault,all,1/1/2017,20,,,,,,
Labuan,All,assault,all,1/1/2018,25,,,,,,
Labuan,All,assault,all,1/1/2019,20,,,,,,
Labuan,All,assault,all,1/1/2020,22,,,,,,
Labuan,All,assault,all,1/1/2021,17,,,,,,
Labuan,All,assault,all,1/1/2022,24,,,,,,
Labuan,All,assault,all,1/1/2023,19,,,,,,
Labuan,All,property,all,1/1/2016,192,,,,,,
Labuan,All,property,all,1/1/2017,184,,,,,,
Labuan,All,property,all,1/1/2018,241,,,,,,
Labuan,All,property,all,1/1/2019,232,,,,,,
Labuan,All,property,all,1/1/2020,163,,,,,,
Labuan,All,property,all,1/1/2021,124,,,,,,
Labuan,All,property,all,1/1/2022,87,,,,,,
Labuan,All,property,all,1/1/2023,109,,,,,,
Labuan,All,total,all,1/1/2016,216,,,,,,
Labuan,All,total,all,1/1/2017,204,,,,,,
Labuan,All,total,all,1/1/2018,266,,,,,,
Labuan,All,total,all,1/1/2019,252,,,,,,
Labuan,All,total,all,1/1/2020,185,,,,,,
Labuan,All,total,all,1/1/2021,141,,,,,,
Labuan,All,total,all,1/1/2022,111,,,,,,
Labuan,All,total,all,1/1/2023,128,,,,,,
Sarawak,All,assault,all,1/1/2016,953,,,,,,
Sarawak,All,assault,all,1/1/2017,876,,,,,,
Sarawak,All,assault,all,1/1/2018,811,,,,,,
Sarawak,All,assault,all,1/1/2019,898,,,,,,
Sarawak,All,assault,all,1/1/2020,761,,,,,,
Sarawak,All,assault,all,1/1/2021,593,,,,,,
Sarawak,All,assault,all,1/1/2022,588,,,,,,
Sarawak,All,assault,all,1/1/2023,558,,,,,,
Sarawak,All,property,all,1/1/2016,5873,,,,,,
Sarawak,All,property,all,1/1/2017,5505,,,,,,
Sarawak,All,property,all,1/1/2018,5019,,,,,,
Sarawak,All,property,all,1/1/2019,5125,,,,,,
Sarawak,All,property,all,1/1/2020,5089,,,,,,
Sarawak,All,property,all,1/1/2021,3701,,,,,,
Sarawak,All,property,all,1/1/2022,3299,,,,,,
Sarawak,All,property,all,1/1/2023,3487,,,,,,
Sarawak,All,total,all,1/1/2016,6826,,,,,,
Sarawak,All,total,all,1/1/2017,6381,,,,,,
Sarawak,All,total,all,1/1/2018,5830,,,,,,
Sarawak,All,total,all,1/1/2019,6023,,,,,,
Sarawak,All,total,all,1/1/2020,5850,,,,,,
Sarawak,All,total,all,1/1/2021,4294,,,,,,
Sarawak,All,total,all,1/1/2022,3887,,,,,,
Sarawak,All,total,all,1/1/2023,4045,,,,,,
Selangor,All,assault,all,1/1/2016,6611,,,,,,
Selangor,All,assault,all,1/1/2017,6470,,,,,,
Selangor,All,assault,all,1/1/2018,4658,,,,,,
Selangor,All,assault,all,1/1/2019,4302,,,,,,
Selangor,All,assault,all,1/1/2020,4239,,,,,,
Selangor,All,assault,all,1/1/2021,3805,,,,,,
Selangor,All,assault,all,1/1/2022,2820,,,,,,
Selangor,All,assault,all,1/1/2023,2953,,,,,,
Selangor,All,property,all,1/1/2016,24612,,,,,,
Selangor,All,property,all,1/1/2017,19599,,,,,,
Selangor,All,property,all,1/1/2018,16762,,,,,,
Selangor,All,property,all,1/1/2019,15498,,,,,,
Selangor,All,property,all,1/1/2020,13033,,,,,,
Selangor,All,property,all,1/1/2021,11102,,,,,,
Selangor,All,property,all,1/1/2022,10205,,,,,,
Selangor,All,property,all,1/1/2023,10786,,,,,,
Selangor,All,total,all,1/1/2016,31223,,,,,,
Selangor,All,total,all,1/1/2017,26069,,,,,,
Selangor,All,total,all,1/1/2018,21420,,,,,,
Selangor,All,total,all,1/1/2019,19800,,,,,,
Selangor,All,total,all,1/1/2020,17272,,,,,,
Selangor,All,total,all,1/1/2021,14907,,,,,,
Selangor,All,total,all,1/1/2022,13025,,,,,,
Selangor,All,total,all,1/1/2023,13739,,,,,,
Terengganu,All,assault,all,1/1/2016,407,,,,,,
Terengganu,All,assault,all,1/1/2017,354,,,,,,
Terengganu,All,assault,all,1/1/2018,291,,,,,,
Terengganu,All,assault,all,1/1/2019,293,,,,,,
Terengganu,All,assault,all,1/1/2020,278,,,,,,
Terengganu,All,assault,all,1/1/2021,224,,,,,,
Terengganu,All,assault,all,1/1/2022,223,,,,,,
Terengganu,All,assault,all,1/1/2023,247,,,,,,
Terengganu,All,property,all,1/1/2016,2087,,,,,,
Terengganu,All,property,all,1/1/2017,1903,,,,,,
Terengganu,All,property,all,1/1/2018,1532,,,,,,
Terengganu,All,property,all,1/1/2019,1577,,,,,,
Terengganu,All,property,all,1/1/2020,1821,,,,,,
Terengganu,All,property,all,1/1/2021,1370,,,,,,
Terengganu,All,property,all,1/1/2022,1254,,,,,,
Terengganu,All,property,all,1/1/2023,1123,,,,,,
Terengganu,All,total,all,1/1/2016,2494,,,,,,
Terengganu,All,total,all,1/1/2017,2257,,,,,,
Terengganu,All,total,all,1/1/2018,1823,,,,,,
Terengganu,All,total,all,1/1/2019,1870,,,,,,
Terengganu,All,total,all,1/1/2020,2099,,,,,,
Terengganu,All,total,all,1/1/2021,1594,,,,,,
Terengganu,All,total,all,1/1/2022,1477,,,,,,
Terengganu,All,total,all,1/1/2023,1370,,,,,,
Kuala Lumpur,All,assault,all,1/1/2016,3201,,,,,,
Kuala Lumpur,All,assault,all,1/1/2017,3980,,,,,,
Kuala Lumpur,All,assault,all,1/1/2018,3121,,,,,,
Kuala Lumpur,All,assault,all,1/1/2019,2891,,,,,,
Kuala Lumpur,All,assault,all,1/1/2020,1937,,,,,,
Kuala Lumpur,All,assault,all,1/1/2021,1450,,,,,,
Kuala Lumpur,All,assault,all,1/1/2022,1034,,,,,,
Kuala Lumpur,All,assault,all,1/1/2023,930,,,,,,
Kuala Lumpur,All,property,all,1/1/2016,12950,,,,,,
Kuala Lumpur,All,property,all,1/1/2017,9288,,,,,,
Kuala Lumpur,All,property,all,1/1/2018,8795,,,,,,
Kuala Lumpur,All,property,all,1/1/2019,8035,,,,,,
Kuala Lumpur,All,property,all,1/1/2020,6233,,,,,,
Kuala Lumpur,All,property,all,1/1/2021,4635,,,,,,
Kuala Lumpur,All,property,all,1/1/2022,3796,,,,,,
Kuala Lumpur,All,property,all,1/1/2023,3540,,,,,,
Kuala Lumpur,All,total,all,1/1/2016,16151,,,,,,
Kuala Lumpur,All,total,all,1/1/2017,13268,,,,,,
Kuala Lumpur,All,total,all,1/1/2018,11916,,,,,,
Kuala Lumpur,All,total,all,1/1/2019,10926,,,,,,
Kuala Lumpur,All,total,all,1/1/2020,8170,,,,,,
Kuala Lumpur,All,total,all,1/1/2021,6085,,,,,,
Kuala Lumpur,All,total,all,1/1/2022,4830,,,,,,
Kuala Lumpur,All,total,all,1/1/2023,4470,,,,,,
Putrajaya,All,assault,all,1/1/2016,575,,,,,,
Putrajaya,All,assault,all,1/1/2017,19,,,,,,
Putrajaya,All,assault,all,1/1/2018,16,,,,,,
Putrajaya,All,assault,all,1/1/2019,23,,,,,,
Putrajaya,All,assault,all,1/1/2020,11,,,,,,
Putrajaya,All,assault,all,1/1/2021,8,,,,,,
Putrajaya,All,assault,all,1/1/2022,15,,,,,,
Putrajaya,All,assault,all,1/1/2023,10,,,,,,
Putrajaya,All,property,all,1/1/2016,263,,,,,,
Putrajaya,All,property,all,1/1/2017,236,,,,,,
Putrajaya,All,property,all,1/1/2018,195,,,,,,
Putrajaya,All,property,all,1/1/2019,223,,,,,,
Putrajaya,All,property,all,1/1/2020,120,,,,,,
Putrajaya,All,property,all,1/1/2021,83,,,,,,
Putrajaya,All,property,all,1/1/2022,69,,,,,,
Putrajaya,All,property,all,1/1/2023,60,,,,,,
Putrajaya,All,total,all,1/1/2016,838,,,,,,
Putrajaya,All,total,all,1/1/2017,255,,,,,,
Putrajaya,All,total,all,1/1/2018,211,,,,,,
Putrajaya,All,total,all,1/1/2019,246,,,,,,
Putrajaya,All,total,all,1/1/2020,131,,,,,,
Putrajaya,All,total,all,1/1/2021,91,,,,,,
Putrajaya,All,total,all,1/1/2022,84,,,,,,
Putrajaya,All,total,all,1/1/2023,70,,,,,,
