arrest_type,date,sex,age,drug_arrests
supply,2022-01-01,both,19-24,2708
supply,2022-01-01,male,19-24,2426
supply,2022-01-01,female,19-24,282
posses,2022-01-01,both,19-24,9620
posses,2022-01-01,male,19-24,9197
posses,2022-01-01,female,19-24,423
urine_positive,2022-01-01,both,19-24,8774
urine_positive,2022-01-01,male,19-24,8261
urine_positive,2022-01-01,female,19-24,513
overall,2022-01-01,both,25-29,26921
overall,2022-01-01,male,25-29,25353
overall,2022-01-01,female,25-29,1568
supply,2022-01-01,both,25-29,3830
supply,2022-01-01,male,25-29,3474
supply,2022-01-01,female,25-29,356
posses,2022-01-01,both,25-29,11451
posses,2022-01-01,male,25-29,10900
posses,2022-01-01,female,25-29,551
urine_positive,2022-01-01,both,25-29,11640
urine_positive,2022-01-01,male,25-29,10979
urine_positive,2022-01-01,female,25-29,661
overall,2022-01-01,both,30-34,27998
overall,2022-01-01,male,30-34,26340
overall,2022-01-01,female,30-34,1658
supply,2022-01-01,both,30-34,4423
supply,2022-01-01,male,30-34,4084
supply,2022-01-01,female,30-34,339
posses,2022-01-01,both,30-34,11077
posses,2022-01-01,male,30-34,10465
posses,2022-01-01,female,30-34,612
urine_positive,2022-01-01,both,30-34,12498
urine_positive,2022-01-01,male,30-34,11791
urine_positive,2022-01-01,female,30-34,707
overall,2022-01-01,both,35-40,33564
overall,2022-01-01,male,35-40,31992
overall,2022-01-01,female,35-40,1572
supply,2022-01-01,both,35-40,5734
supply,2022-01-01,male,35-40,5378
supply,2022-01-01,female,35-40,356
posses,2022-01-01,both,35-40,13180
posses,2022-01-01,male,35-40,12580
posses,2022-01-01,female,35-40,600
urine_positive,2022-01-01,both,35-40,14650
urine_positive,2022-01-01,male,35-40,14034
urine_positive,2022-01-01,female,35-40,616
overall,2022-01-01,both,>41,47963
overall,2022-01-01,male,>41,46445
overall,2022-01-01,female,>41,1518
supply,2022-01-01,both,>41,9781
supply,2022-01-01,male,>41,9395
supply,2022-01-01,female,>41,386
posses,2022-01-01,both,>41,19268
posses,2022-01-01,male,>41,18619
posses,2022-01-01,female,>41,649
urine_positive,2022-01-01,both,>41,18914
urine_positive,2022-01-01,male,>41,18431
urine_positive,2022-01-01,female,>41,483
overall,2022-01-01,both,no_information,3245
overall,2022-01-01,male,no_information,3129
overall,2022-01-01,female,no_information,116
supply,2022-01-01,both,no_information,488
supply,2022-01-01,male,no_information,466
supply,2022-01-01,female,no_information,22
posses,2022-01-01,both,no_information,1310
posses,2022-01-01,male,no_information,1257
posses,2022-01-01,female,no_information,53
urine_positive,2022-01-01,both,no_information,1447
urine_positive,2022-01-01,male,no_information,1406
urine_positive,2022-01-01,female,no_information,41
overall,2023-01-01,both,all,179799
overall,2023-01-01,male,all,170534
overall,2023-01-01,female,all,9265
supply,2023-01-01,both,all,26814
supply,2023-01-01,male,all,25056
supply,2023-01-01,female,all,1758
posses,2023-01-01,both,all,67985
posses,2023-01-01,male,all,64894
posses,2023-01-01,female,all,3091
urine_positive,2023-01-01,both,all,85000
urine_positive,2023-01-01,male,all,80584
urine_positive,2023-01-01,female,all,4416
overall,2023-01-01,both,<13,28
overall,2023-01-01,male,<13,21
overall,2023-01-01,female,<13,7
supply,2023-01-01,both,<13,9
supply,2023-01-01,male,<13,6
supply,2023-01-01,female,<13,3
posses,2023-01-01,both,<13,12
posses,2023-01-01,male,<13,9
posses,2023-01-01,female,<13,3
urine_positive,2023-01-01,both,<13,7
urine_positive,2023-01-01,male,<13,6
urine_positive,2023-01-01,female,<13,1
overall,2023-01-01,both,14-18,2710
overall,2023-01-01,male,14-18,2400
overall,2023-01-01,female,14-18,310
supply,2023-01-01,both,14-18,306
supply,2023-01-01,male,14-18,242
supply,2023-01-01,female,14-18,64
posses,2023-01-01,both,14-18,1064
posses,2023-01-01,male,14-18,965
posses,2023-01-01,female,14-18,99
urine_positive,2023-01-01,both,14-18,1340
urine_positive,2023-01-01,male,14-18,1193
urine_positive,2023-01-01,female,14-18,147
overall,2023-01-01,both,19-24,22637
overall,2023-01-01,male,19-24,21131
overall,2023-01-01,female,19-24,1506
supply,2023-01-01,both,19-24,2553
supply,2023-01-01,male,19-24,2299
supply,2023-01-01,female,19-24,254
posses,2023-01-01,both,19-24,9255
posses,2023-01-01,male,19-24,8829
posses,2023-01-01,female,19-24,426
urine_positive,2023-01-01,both,19-24,10829
urine_positive,2023-01-01,male,19-24,10003
urine_positive,2023-01-01,female,19-24,826
overall,2023-01-01,both,25-29,30508
overall,2023-01-01,male,25-29,28753
overall,2023-01-01,female,25-29,1755
supply,2023-01-01,both,25-29,3884
supply,2023-01-01,male,25-29,3564
supply,2023-01-01,female,25-29,320
posses,2023-01-01,both,25-29,11885
posses,2023-01-01,male,25-29,11339
posses,2023-01-01,female,25-29,546
urine_positive,2023-01-01,both,25-29,14739
urine_positive,2023-01-01,male,25-29,13850
urine_positive,2023-01-01,female,25-29,889
overall,2023-01-01,both,30-34,31194
overall,2023-01-01,male,30-34,29356
overall,2023-01-01,female,30-34,1838
supply,2023-01-01,both,30-34,4307
supply,2023-01-01,male,30-34,3949
supply,2023-01-01,female,30-34,358
posses,2023-01-01,both,30-34,11406
posses,2023-01-01,male,30-34,10823
posses,2023-01-01,female,30-34,583
urine_positive,2023-01-01,both,30-34,15481
urine_positive,2023-01-01,male,30-34,14584
urine_positive,2023-01-01,female,30-34,897
overall,2023-01-01,both,35-40,37439
overall,2023-01-01,male,35-40,35530
overall,2023-01-01,female,35-40,1909
supply,2023-01-01,both,35-40,5606
supply,2023-01-01,male,35-40,5262
supply,2023-01-01,female,35-40,344
posses,2023-01-01,both,35-40,13669
posses,2023-01-01,male,35-40,12966
posses,2023-01-01,female,35-40,703
urine_positive,2023-01-01,both,35-40,18164
urine_positive,2023-01-01,male,35-40,17302
urine_positive,2023-01-01,female,35-40,862
overall,2023-01-01,both,>41,54624
overall,2023-01-01,male,>41,52783
overall,2023-01-01,female,>41,1841
supply,2023-01-01,both,>41,10052
supply,2023-01-01,male,>41,9656
supply,2023-01-01,female,>41,396
posses,2023-01-01,both,>41,20460
posses,2023-01-01,male,>41,19738
posses,2023-01-01,female,>41,722
urine_positive,2023-01-01,both,>41,24112
urine_positive,2023-01-01,male,>41,23389
urine_positive,2023-01-01,female,>41,723
overall,2023-01-01,both,no_information,659
overall,2023-01-01,male,no_information,560
overall,2023-01-01,female,no_information,99
supply,2023-01-01,both,no_information,97
supply,2023-01-01,male,no_information,78
supply,2023-01-01,female,no_information,19
posses,2023-01-01,both,no_information,234
posses,2023-01-01,male,no_information,225
posses,2023-01-01,female,no_information,9
urine_positive,2023-01-01,both,no_information,328
urine_positive,2023-01-01,male,no_information,257
urine_positive,2023-01-01,female,no_information,71
